Aledmys Dia,25,STL,NL,111,460,404,71,121,28,3,17,65,4
Dayan Dia,27,CIN,NL,6,0,0,0,0,0,0,0,0,0
Edwin Dia,22,SEA,AL,3,1,1,0,0,0,0,0,0,0
Elias Dia,25,PIT,NL,1,4,4,0,0,0,0,0,1,0
Jumbo Dia,32,CIN,NL,45,1,1,0,0,0,0,0,0,0
Alex Dickerson,26,SDP,NL,84,285,253,39,65,16,2,10,37,5
Corey Dickerson,27,TBR,AL,148,548,510,57,125,36,3,24,70,0
R.A. Dicke,41,TOR,AL,1,1,1,0,0,0,0,0,0,0
Jake Diekman,29,TEX,AL,3,0,0,0,0,0,0,0,0,0
Derek Dietrich,26,MIA,NL,128,412,351,39,98,20,5,7,42,1
Wilmer Difo,24,WSN,NL,31,66,58,14,16,3,0,1,7,3
Jose Domingue,25,SDP,NL,30,0,0,0,0,0,0,0,0,0
Matt Domingue,26,TOR,AL,5,12,11,0,0,0,0,0,0,0
Josh Donaldso,30,TOR,AL,155,700,577,122,164,32,5,37,99,7
Sean Doolittle,29,OAK,AL,4,0,0,0,0,0,0,0,0,0
Brian Dozie,29,MIN,AL,155,691,615,104,165,35,5,42,99,18
Hunter Dozie,24,KCR,AL,8,21,19,4,4,1,0,0,1,0
Kyle Drabe,28,ARI,NL,1,0,0,0,0,0,0,0,0,0
Oliver Drak,29,BAL,AL,2,1,1,0,0,0,0,0,0,0
Stephen Drew,33,WSN,NL,70,165,143,24,38,11,1,8,21,0
Brandon Drur,23,ARI,NL,134,499,461,59,130,31,1,16,53,1
Lucas Duda,30,NYM,NL,47,172,153,20,35,7,0,7,23,0
Tyler Duffe,25,MIN,AL,1,2,1,0,0,0,0,0,0,0
Danny Duffy,27,KCR,AL,2,6,5,1,1,0,0,0,1,0
Matt Duff,25,TOT,MLB,91,366,333,41,86,14,2,5,28,8
Matt Duff,25,SFG,NL,70,286,257,32,65,11,2,4,21,8
Matt Duff,25,TBR,AL,21,80,76,9,21,3,0,1,7,0
Matt Duff,27,HOU,AL,3,3,3,0,0,0,0,0,0,0
Zach Duke,33,TOT,MLB,30,0,0,0,0,0,0,0,0,0
Zach Duke,33,CHW,AL,3,0,0,0,0,0,0,0,0,0
Zach Duke,33,STL,NL,27,0,0,0,0,0,0,0,0,0
Ryan Dul,26,OAK,AL,8,0,0,0,0,0,0,0,0,0
Mike Dunn,31,MIA,NL,48,0,0,0,0,0,0,0,0,0
Adam Duval,27,CIN,NL,150,608,552,85,133,31,6,33,103,6
Jarrod Dyson,31,KCR,AL,107,337,299,46,83,14,8,1,25,30
Sam Dyso,28,TEX,AL,5,0,0,0,0,0,0,0,0,0
Adam Eaton,27,CHW,AL,157,706,619,91,176,29,9,14,59,14
